route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
21-U1-j22-24,UZ,11460.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11461.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11463.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11466.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11467.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11469.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11473.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11474.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11475.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11477.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11481.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11482.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11483.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11485.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11488.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11489.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11492.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11493.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11495.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11499.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11500.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11502.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11503.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11506.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11507.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11509.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11510.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11514.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
21-U1-j22-24,UZ,11515.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11517.UZ.21-U1-j22-24.1.H,21-U1-j22-24.1.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11518.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11521.UZ.21-U1-j22-24.5.R,21-U1-j22-24.5.R,Wien Alaudagasse,1,
21-U1-j22-24,UZ,11522.UZ.21-U1-j22-24.3.H,21-U1-j22-24.3.H,Wien Leopoldau,0,
21-U1-j22-24,UZ,11525.UZ.21-U1-j22-24.4.R,21-U1-j22-24.4.R,Wien Oberlaa,1,
